
央视,#genre#

CCTV1,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.65.175/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.65.175/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.65.175/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.65.175/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.65.175/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.65.175/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.65.175/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.65.175/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.65.175/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.65.175/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.65.175/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.65.175/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.65.175/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.65.175/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.65.175/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.65.173/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8

CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$移动
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$移动
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$移动
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$移动
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$移动
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8$移动
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$移动
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8$移动
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8$移动
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8$移动
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8$移动
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8$移动
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8$移动
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8$移动
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8$移动
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8$移动
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8$移动
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8$移动
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$高清
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8$高清
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8$高清
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8$高清

CCTV1,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226559
CCTV2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226540
CCTV3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV4,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428
CCTV5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV5+,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
